'01340';46.283333;5.166667
'01270';46.4;5.266667
'01370';46.333333;5.283333
'01250';46.133333;5.4
'01000';46.2;5.216667
'01310';46.2;5.133333
'01240';46.133333;5.266667
'01560';46.45;5.233333
'01160';46.066667;5.316667
'01851';46.333333;5.25
'01960';46.183333;5.2
'01660';46.216667;5.083333
'01440';46.25;5.216667
'01500';45.95;5.35
'01100';46.208333;5.658333
'01360';45.833333;5.1
'01130';46.25;5.766667
'01150';45.85;5.25
'01450';46.2;5.483333
'01800';45.883333;5.166667
'01640';46.033333;5.466667
'01460';0;0
'01430';46.116667;5.5
'01120';45.85;5.066667
'01590';46.316667;5.666667
'01580';46.216667;5.55
'01300';45.75;5.6
'01350';45.916667;5.808333
'01110';46;5.5
'01230';45.9;5.483333
'01510';45.85;5.583333
'01200';46.1;5.816667
'01260';0;0
'01470';45.833333;5.483333
'01170';46.316667;6.066667
'01630';46.183333;5.966667
'01410';46.2;5.816667
'01420';46;5.783333
'01550';46.133333;5.9
'01220';46.366667;6.133333
'01210';46.25;6.116667
'01680';45.716667;5.566667
'01280';46.25;6.083333
'01710';0;0
'01330';46;4.9
'01190';46.466667;4.966667
'01480';45.983333;4.816667
'01570';46.383333;4.883333
'01380';46.316667;4.95
'01990';46.116667;4.9
'01290';46.216667;4.85
'01700';45.833333;5
'01320';46;5.166667
'01400';46.183333;5.033333
'01390';45.916667;4.883333
'01090';46.066667;4.8
'01140';46.2;4.833333
'01600';45.916667;4.833333
'01540';46.233333;4.983333
'02800';49.683333;3.383333
'02190';49.4;3.966667
'02820';49.483333;3.816667
'02320';49.5;3.45
'02360';49.741667;4.116667
'02860';49.483333;3.75
'02270';49.683333;3.566667
'02840';49.566667;3.683333
'02000';49.616667;3.6
'02380';49.533333;3.383333
'02160';49.4;3.733333
'02340';49.666667;4.116667
'02870';49.6;3.583333
'02350';49.616667;3.95
'02140';49.766667;4.033333
'02700';49.633333;3.35
'02150';49.616667;3.966667
'02410';49.6;3.383333
'2AC14';41.983333;8.8
'2AC14';41.916667;8.733333
'2AC14';42.083333;8.783333
'2AC13';42.133333;8.8
'2AC14';42.116667;8.916667
'2AC14';0;0
'2AC14';42.083333;9.066667
'2AC14';42.016667;8.766667
'2AC14';42.033333;8.95
'2AC12';42.133333;8.583333
'2AC12';42.233333;8.833333
'2AC14';42.1;8.833333
'2AC12';42.216667;8.8
'2AC13';42.183333;8.933333
'2AC12';42.316667;8.633333
'2AC12';42.266667;8.75
'2AC12';42.5;9.116667
'2AC14';42.066667;9.016667
'2AC14';42.05;8.916667
'2BC03';0;0
'2BC01';0;0
'2BC02';42.7;9.45
'2BC02';42.616667;9.416667
'2BC02';42.4;9.283333
'2BC01';42.766667;9.45
'2BC01';42.85;9.35
'2BC01';42.95;9.35
'2BC01';0;0
'2BC02';42.65;9.416667
'2BC05';42.566667;9.166667
'2BC01';42.933333;9.433333
'2BC02';0;0
'2BC03';42.633333;9.35
'2BC01';0;0
'2BC01';0;0
'2BC03';42.583333;9.266667
'2BC01';0;0
'02240';49.75;3.366667
'02480';49.716667;3.166667
'02490';49.85;3.166667
'02420';50.033333;3.266667
'02590';49.783333;3.116667
'02110';50;3.3
'02440';49.75;3.316667
'02680';49.8;3.233333
'02690';49.766667;3.283333
'02100';49.9;3.366667
'02520';49.716667;3.2
'02760';49.85;3.233333
'02430';49.816667;3.266667
'02720';49.85;3.366667
'02610';49.75;3.366667
'02C01';49.75;3.166667
'02C01';49.783333;3.216667
'2AC14';41.85;8.933333
'2AC16';41.7;9.066667
'2AC17';41.683333;8.983333
'2AC15';41.8;9.016667
'2AC16';41.766667;9.083333
'2AC15';41.866667;9.016667
'2AC14';42;9.05
'2AC18';41.616667;8.916667
'2AC19';41.391667;9.166667
'2AC15';0;0
'2AC16';41.666667;9.133333
'2AC16';41.716667;9.05
'2AC14';41.9;8.916667
'2AC15';41.95;9.15
'2AC15';41.816667;8.9
'2AC19';41.733333;9.333333
'2AC15';41.883333;9.066667
'2AC14';41.766667;8.766667
'2AC15';41.933333;9.15
'2AC19';0;0
'2AC17';41.7;9
'2AC15';41.883333;9.016667
'2AC15';0;0
'2AC19';0;0
'2AC16';41.716667;9.05
'2AC19';41.516667;9.016667
'2AC17';41.716667;8.916667
'2AC19';0;0
'2AC14';41.833333;8.85
'2AC16';41.766667;9.133333
