29,48.46,-5.1
29,48.1,-4
56,47.85,-3
22,48.3,-2
64,43.466667,-1
33,44.683333,-1
17,45.6,-1
49,47.3,-1
53,47.816667,-1
53,48.016667,-1
14,49.233333,-1
14,49.383333,-1
09,42.88,0.94
31,43.65,1
32,43.716667,1
24,44.783333,1
24,45.016667,1
86,46.383333,1
37,47.333333,1
37,47.533333,1
76,49.283333,1
76,49.35,1
76,49.383333,1
76,49.866667,1
09,42.91,1.15
31,43.77,1.29
09,42.93,1.63
09,43.25,1.68
09,42.59,1.8
31,43.466667,2
23,46.2,2
23,46.35,2
45,48.1,2
91,48.316667,2
78,48.783333,2
78,48.95,2
78,48.983333,2
95,49.033333,2
95,49.083333,2
60,49.366667,2
60,49.416667,2
80,50.083333,2
80,50.1,2
62,50.583333,2
62,50.75,2
09,42.72,2.07
12,44.55,2.15
11,43.37,2.25
12,44.28,2.43
66,42.616667,3
11,43.25,3
03,46.133333,3
18,47.133333,3
89,48.2,3
77,48.466667,3
60,49.283333,3
62,50.216667,3
59,50.566667,3
59,50.6,3
59,50.666667,3
59,50.683333,3
66,42.71,3.01
12,44.42,3.09
43,45.04,3.89
07,44.733333,4
42,45.383333,4
42,45.633333,4
51,48.883333,4
59,50.016667,4
59,50.066667,4
59,50.266667,4
69,46.1,4.32
13,43.79,4.76
08,49.85,4.77
69,45.82,4.9
13,43.583333,5
13,43.8,5
84,43.933333,5
84,44.033333,5
84,44.083333,5
84,44.283333,5
69,45.733333,5
01,45.833333,5
71,46.666667,5
21,47.283333,5
21,47.316667,5
52,47.95,5
52,48.183333,5
51,48.95,5
08,49.266667,5
84,43.84,5.04
38,45.59,5.28
83,43.25,6
83,43.55,6
73,45.566667,6
74,46.116667,6
25,46.916667,6
70,47.616667,6
54,48.733333,6
57,49.35,6
04,44.09,6.01
04,44.09,6.24
05,45.05,6.31
06,43.6,7
06,43.633333,7
90,47.6,7
2A,41.7,9
65,43.133333,-
65,43.233333,-
33,44.95,-
79,46.383333,-
72,48.333333,-
65,43.2,0.016667
47,44.35,0.016667
24,45.15,0.016667
16,45.9,0.016667
86,46.966667,0.016667
14,49.116667,0.016667
32,43.8,-0.016667
32,43.833333,-0.016667
16,45.3,-0.016667
16,45.5,-0.016667
72,47.933333,-0.016667
61,48.75,-0.016667
33,45,0.033333
16,46,0.033333
65,43.283333,0.033333
14,49.35,0.033333
65,43.133333,-0.033333
79,46.1,-0.033333
79,46.316667,-0.033333
49,47.35,-0.033333
49,47.366667,-0.033333
14,48.933333,-0.033333
14,49.25,-0.033333
14,49.283333,-0.033333
14,49.316667,-0.033333
33,44.733333,0.05
16,45.55,0.05
16,45.716667,0.05
86,46.416667,0.05
86,46.566667,0.05
49,47.233333,0.05
49,47.516667,0.05
61,48.466667,0.05
47,44.2,-0.05
33,44.616667,-0.05
65,42.9,0.066667
65,43.316667,0.066667
40,44.116667,0.066667
33,44.783333,0.066667
72,47.833333,0.066667
72,48.05,0.066667
65,43.033333,-0.066667
32,43.75,-0.066667
32,43.933333,-0.066667
33,44.416667,-0.066667
33,44.466667,-0.066667
33,44.75,-0.066667
17,45.2,-0.066667
16,45.633333,-0.066667
86,47.066667,-0.066667
72,48.066667,-0.066667
72,48.166667,-0.066667
61,48.45,-0.066667
65,43.2,0.083333
65,43.233333,0.083333
65,43.3,0.083333
65,43.4,0.083333
65,43.5,0.083333
32,43.583333,0.083333
32,43.7,0.083333
32,43.95,0.083333
16,45.333333,0.083333
16,45.733333,0.083333
79,46.2,0.083333
72,48.2,0.083333
